0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,1.0,60.0,21.0,51.0,13.0,16.0,19.0,11.0,1.0,2.0,3.0,40.0,44.0,17.0,20.0,4.0,27.0,5.0,7.0,1.0,4.0,3.0,2.0,0.0,34.0,34.0,23.0,24.0,9.0,32.0,23.0,50.0,2.0,36.0,13.0,52.0,16.0,15.0,0.0,3.0,9.0,9.0,4.0,2.0,6.0,0.0,3.0,0.0,0.0
0.0,1.0,12.0,31.0,8.0,15.0,20.0,30.0,21.0,2.0,2.0,5.0,53.0,11.0,25.0,4.0,5.0,2.0,9.0,9.0,2.0,5.0,4.0,3.0,0.0,49.0,6.0,30.0,4.0,12.0,7.0,32.0,66.0,6.0,45.0,23.0,64.0,25.0,18.0,0.0,5.0,1.0,13.0,4.0,5.0,6.0,1.0,3.0,0.0,0.0
0.0,1.0,19.0,44.0,20.0,18.0,5.0,38.0,5.0,4.0,0.0,14.0,63.0,22.0,28.0,8.0,7.0,5.0,12.0,3.0,4.0,0.0,4.0,3.0,0.0,55.0,15.0,38.0,10.0,16.0,14.0,44.0,14.0,15.0,8.0,33.0,82.0,36.0,25.0,1.0,5.0,3.0,18.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,35.0,61.0,35.0,18.0,8.0,45.0,7.0,9.0,3.0,22.0,8.0,37.0,5.0,11.0,10.0,8.0,16.0,6.0,6.0,0.0,4.0,0.0,0.0,13.0,20.0,11.0,17.0,19.0,22.0,55.0,26.0,19.0,14.0,42.0,19.0,48.0,6.0,1.0,1.0,6.0,21.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,49.0,16.0,43.0,9.0,13.0,9.0,12.0,11.0,3.0,27.0,21.0,46.0,10.0,14.0,1.0,10.0,2.0,10.0,1.0,1.0,5.0,0.0,0.0,29.0,32.0,23.0,26.0,6.0,27.0,12.0,43.0,25.0,23.0,50.0,35.0,64.0,8.0,2.0,1.0,9.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0
0.0,2.0,59.0,33.0,49.0,19.0,19.0,19.0,18.0,3.0,3.0,8.0,34.0,58.0,15.0,18.0,1.0,19.0,9.0,12.0,1.0,2.0,0.0,0.0,0.0,42.0,40.0,31.0,31.0,12.0,41.0,18.0,54.0,6.0,27.0,9.0,48.0,17.0,14.0,2.0,3.0,12.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
0.0,3.0,13.0,45.0,11.0,23.0,25.0,27.0,22.0,5.0,4.0,16.0,45.0,9.0,19.0,7.0,1.0,8.0,12.0,13.0,4.0,3.0,0.0,0.0,0.0,67.0,6.0,36.0,7.0,15.0,5.0,24.0,68.0,10.0,43.0,26.0,65.0,30.0,20.0,0.0,5.0,4.0,14.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0
0.0,6.0,23.0,57.0,21.0,26.0,4.0,41.0,1.0,10.0,1.0,24.0,53.0,19.0,27.0,11.0,2.0,13.0,18.0,3.0,4.0,2.0,0.0,0.0,0.0,80.0,13.0,43.0,10.0,24.0,11.0,36.0,17.0,19.0,9.0,30.0,78.0,42.0,28.0,0.0,5.0,6.0,17.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0
0.0,0.0,34.0,76.0,36.0,30.0,6.0,47.0,3.0,14.0,2.0,31.0,11.0,32.0,10.0,16.0,3.0,21.0,21.0,6.0,6.0,3.0,2.0,1.0,0.0,12.0,25.0,6.0,20.0,27.0,28.0,46.0,40.0,26.0,17.0,39.0,15.0,52.0,7.0,1.0,2.0,7.0,20.0,4.0,5.0,7.0,3.0,1.0,0.0,0.0
1.0,1.0,45.0,19.0,55.0,9.0,11.0,10.0,7.0,19.0,3.0,38.0,26.0,43.0,16.0,21.0,2.0,28.0,0.0,6.0,3.0,5.0,3.0,1.0,0.0,23.0,26.0,15.0,28.0,10.0,41.0,10.0,60.0,32.0,27.0,51.0,38.0,72.0,10.0,2.0,3.0,8.0,2.0,4.0,1.0,8.0,5.0,1.0,0.0,0.0
0.0,1.0,56.0,41.0,58.0,13.0,12.0,19.0,11.0,1.0,4.0,4.0,41.0,53.0,23.0,27.0,6.0,33.0,4.0,7.0,7.0,7.0,1.0,1.0,0.0,42.0,31.0,20.0,35.0,19.0,51.0,18.0,78.0,8.0,37.0,10.0,60.0,17.0,16.0,3.0,5.0,10.0,4.0,7.0,1.0,9.0,2.0,2.0,0.0,0.0
0.0,2.0,16.0,51.0,11.0,18.0,17.0,25.0,18.0,6.0,5.0,14.0,53.0,9.0,28.0,1.0,7.0,6.0,7.0,9.0,11.0,7.0,4.0,2.0,0.0,62.0,2.0,28.0,4.0,27.0,11.0,28.0,96.0,20.0,49.0,23.0,76.0,24.0,22.0,0.0,7.0,1.0,6.0,9.0,2.0,12.0,2.0,3.0,0.0,0.0
0.0,2.0,25.0,65.0,19.0,29.0,4.0,34.0,3.0,7.0,0.0,20.0,62.0,25.0,36.0,2.0,10.0,13.0,12.0,5.0,14.0,0.0,5.0,3.0,0.0,79.0,5.0,36.0,9.0,34.0,17.0,42.0,18.0,25.0,7.0,30.0,92.0,34.0,28.0,1.0,11.0,8.0,12.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0
0.0,1.0,39.0,79.0,28.0,35.0,6.0,47.0,9.0,13.0,0.0,26.0,12.0,46.0,8.0,7.0,13.0,18.0,17.0,8.0,14.0,2.0,5.0,0.0,0.0,16.0,11.0,10.0,15.0,41.0,27.0,52.0,29.0,32.0,15.0,41.0,23.0,49.0,5.0,1.0,1.0,12.0,17.0,3.0,5.0,4.0,3.0,1.0,0.0,0.0
1.0,2.0,52.0,13.0,38.0,10.0,12.0,11.0,13.0,15.0,1.0,33.0,22.0,55.0,13.0,12.0,0.0,22.0,1.0,9.0,1.0,5.0,6.0,0.0,0.0,33.0,18.0,20.0,22.0,7.0,36.0,9.0,47.0,36.0,23.0,48.0,45.0,65.0,10.0,1.0,3.0,13.0,2.0,3.0,0.0,6.0,5.0,1.0,0.0,0.0
0.0,2.0,66.0,28.0,46.0,16.0,18.0,27.0,16.0,4.0,2.0,13.0,35.0,71.0,19.0,16.0,1.0,28.0,3.0,15.0,3.0,6.0,0.0,1.0,0.0,49.0,31.0,28.0,28.0,12.0,50.0,18.0,63.0,2.0,30.0,16.0,62.0,21.0,22.0,2.0,5.0,16.0,8.0,3.0,0.0,7.0,1.0,1.0,0.0,0.0
1.0,4.0,14.0,52.0,9.0,27.0,20.0,41.0,23.0,10.0,2.0,21.0,49.0,14.0,24.0,7.0,3.0,5.0,6.0,18.0,4.0,7.0,1.0,1.0,0.0,65.0,11.0,32.0,6.0,23.0,15.0,33.0,82.0,3.0,36.0,28.0,90.0,33.0,27.0,1.0,6.0,2.0,15.0,5.0,1.0,8.0,2.0,1.0,0.0,0.0
