0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,1.0,48.0,19.0,77.0,3.0,14.0,66.0,17.0,14.0,2.0,19.0,18.0,22.0,5.0,11.0,7.0,22.0,21.0,4.0,11.0,15.0,2.0,3.0,0.0,10.0,16.0,31.0,12.0,18.0,50.0,30.0,70.0,45.0,46.0,32.0,16.0,24.0,15.0,1.0,3.0,1.0,7.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0
1.0,1.0,61.0,30.0,88.0,9.0,16.0,11.0,20.0,6.0,3.0,27.0,31.0,33.0,13.0,14.0,2.0,27.0,9.0,5.0,0.0,15.0,3.0,3.0,0.0,21.0,22.0,40.0,19.0,21.0,12.0,38.0,24.0,48.0,16.0,38.0,31.0,35.0,5.0,1.0,3.0,3.0,10.0,9.0,2.0,5.0,0.0,3.0,0.0,0.0
1.0,1.0,73.0,40.0,6.0,16.0,0.0,19.0,22.0,7.0,3.0,3.0,40.0,44.0,17.0,20.0,4.0,32.0,11.0,7.0,1.0,18.0,6.0,3.0,0.0,34.0,31.0,47.0,27.0,14.0,17.0,53.0,41.0,50.0,23.0,51.0,52.0,51.0,10.0,1.0,5.0,4.0,6.0,3.0,3.0,5.0,0.0,3.0,0.0,0.0
1.0,1.0,12.0,50.0,14.0,18.0,4.0,30.0,32.0,8.0,0.0,5.0,53.0,11.0,25.0,4.0,5.0,2.0,15.0,9.0,2.0,19.0,7.0,4.0,0.0,49.0,6.0,13.0,31.0,17.0,24.0,62.0,57.0,54.0,32.0,21.0,64.0,9.0,13.0,1.0,7.0,5.0,10.0,3.0,6.0,5.0,1.0,0.0,0.0,0.0
1.0,0.0,19.0,63.0,26.0,21.0,9.0,38.0,6.0,10.0,0.0,14.0,63.0,22.0,28.0,8.0,7.0,5.0,18.0,6.0,4.0,0.0,7.0,4.0,0.0,55.0,15.0,21.0,37.0,21.0,31.0,16.0,71.0,18.0,40.0,31.0,82.0,20.0,20.0,1.0,7.0,7.0,15.0,3.0,8.0,5.0,1.0,0.0,0.0,0.0
1.0,1.0,35.0,80.0,41.0,0.0,12.0,7.0,8.0,15.0,3.0,22.0,12.0,37.0,5.0,11.0,10.0,8.0,22.0,9.0,6.0,0.0,7.0,4.0,0.0,68.0,20.0,32.0,44.0,24.0,15.0,27.0,83.0,22.0,46.0,40.0,101.0,32.0,6.0,1.0,8.0,3.0,18.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0
1.0,1.0,49.0,16.0,49.0,9.0,17.0,16.0,13.0,17.0,3.0,9.0,25.0,46.0,10.0,14.0,1.0,10.0,2.0,13.0,7.0,1.0,8.0,4.0,0.0,21.0,32.0,13.0,14.0,30.0,20.0,39.0,26.0,28.0,55.0,48.0,38.0,48.0,8.0,2.0,8.0,6.0,22.0,3.0,2.0,7.0,2.0,0.0,0.0,0.0
0.0,2.0,12.0,33.0,55.0,19.0,6.0,26.0,19.0,4.0,3.0,17.0,38.0,58.0,15.0,18.0,1.0,19.0,9.0,15.0,7.0,2.0,0.0,4.0,0.0,34.0,40.0,21.0,19.0,36.0,34.0,45.0,37.0,34.0,11.0,57.0,51.0,65.0,14.0,2.0,2.0,9.0,4.0,3.0,2.0,8.0,2.0,0.0,0.0,0.0
0.0,3.0,25.0,45.0,11.0,23.0,12.0,34.0,4.0,6.0,4.0,25.0,49.0,10.0,19.0,7.0,1.0,8.0,12.0,16.0,10.0,1.0,0.0,4.0,0.0,59.0,46.0,26.0,8.0,9.0,39.0,15.0,51.0,38.0,27.0,74.0,68.0,78.0,20.0,0.0,4.0,13.0,10.0,4.0,0.0,9.0,3.0,0.0,0.0,0.0
0.0,6.0,35.0,16.0,21.0,26.0,16.0,48.0,5.0,11.0,1.0,33.0,15.0,20.0,27.0,11.0,2.0,13.0,18.0,3.0,10.0,3.0,0.0,4.0,0.0,72.0,8.0,33.0,11.0,18.0,45.0,27.0,68.0,12.0,36.0,78.0,81.0,27.0,28.0,0.0,4.0,15.0,13.0,6.0,2.0,13.0,1.0,0.0,0.0,0.0
0.0,6.0,46.0,35.0,36.0,30.0,18.0,6.0,7.0,15.0,2.0,40.0,26.0,33.0,11.0,16.0,3.0,21.0,21.0,6.0,12.0,4.0,2.0,1.0,0.0,84.0,20.0,39.0,21.0,21.0,62.0,37.0,40.0,19.0,44.0,16.0,96.0,37.0,35.0,1.0,6.0,1.0,16.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0
1.0,7.0,57.0,54.0,55.0,9.0,23.0,16.0,11.0,5.0,3.0,47.0,41.0,21.0,17.0,21.0,2.0,28.0,0.0,6.0,3.0,6.0,1.0,1.0,0.0,95.0,21.0,48.0,29.0,12.0,75.0,47.0,60.0,25.0,54.0,28.0,119.0,57.0,7.0,2.0,1.0,2.0,18.0,2.0,6.0,4.0,4.0,1.0,0.0,0.0
1.0,7.0,12.0,76.0,3.0,13.0,24.0,25.0,15.0,6.0,4.0,5.0,56.0,31.0,24.0,27.0,6.0,33.0,4.0,7.0,7.0,8.0,2.0,1.0,0.0,114.0,26.0,10.0,36.0,21.0,85.0,55.0,78.0,33.0,17.0,38.0,42.0,74.0,13.0,3.0,3.0,4.0,2.0,5.0,6.0,5.0,6.0,1.0,0.0,0.0
1.0,8.0,28.0,86.0,14.0,18.0,29.0,31.0,7.0,11.0,1.0,15.0,68.0,40.0,29.0,1.0,7.0,6.0,7.0,9.0,11.0,8.0,5.0,1.0,0.0,134.0,28.0,18.0,40.0,29.0,96.0,13.0,96.0,18.0,29.0,51.0,58.0,81.0,19.0,3.0,5.0,1.0,4.0,7.0,1.0,8.0,0.0,2.0,0.0,0.0
1.0,0.0,37.0,15.0,22.0,29.0,4.0,40.0,10.0,12.0,1.0,21.0,77.0,56.0,10.0,2.0,10.0,13.0,12.0,5.0,14.0,0.0,6.0,2.0,0.0,151.0,31.0,26.0,9.0,36.0,12.0,27.0,114.0,23.0,36.0,58.0,74.0,91.0,25.0,4.0,9.0,8.0,10.0,10.0,1.0,10.0,0.0,2.0,0.0,0.0
1.0,1.0,51.0,29.0,31.0,7.0,6.0,53.0,16.0,18.0,1.0,27.0,15.0,77.0,18.0,7.0,13.0,18.0,17.0,8.0,14.0,2.0,6.0,2.0,0.0,34.0,37.0,36.0,15.0,43.0,22.0,37.0,27.0,30.0,44.0,21.0,97.0,106.0,30.0,4.0,10.0,12.0,15.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0
2.0,2.0,64.0,42.0,41.0,17.0,12.0,11.0,20.0,2.0,2.0,7.0,25.0,86.0,23.0,12.0,13.0,22.0,1.0,9.0,1.0,5.0,7.0,2.0,0.0,51.0,44.0,46.0,22.0,50.0,31.0,9.0,45.0,34.0,26.0,28.0,119.0,122.0,12.0,4.0,12.0,13.0,2.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0
2.0,0.0,14.0,57.0,8.0,23.0,6.0,27.0,23.0,6.0,3.0,20.0,38.0,102.0,29.0,7.0,14.0,6.0,3.0,15.0,3.0,6.0,0.0,3.0,0.0,67.0,57.0,54.0,28.0,13.0,45.0,18.0,61.0,36.0,33.0,44.0,136.0,143.0,24.0,5.0,14.0,3.0,8.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0
